a1,b1,A1,n1,R21,a2,b2,A2,n2,R22
1.89596759982564,0.656995213115428,0.0157986866884711,240,0.916985587765916,1.98033899269096,-0.169534853871581,1.52246742371291,240,0.915991898842852
5.66352757129531,-3.5228033160188,520842126.550908,300,0.9996409775872,4.24415747674843,-2.43514820726012,1008212.82038307,300,0.996478719382035
0.266324700036172,3.6004955074639,2.40263494337318e-09,120,0.806399822459479,0.642958957632903,1.94691274071413,1.17036907712392e-05,120,0.790428562930055
2.18529636937519,-0.307479633449355,3.16616451986971,160,0.945099554273965,2.05282119145433,-0.460851781731833,6.44943073648301,160,0.919977297746184
4.07303389238862,-2.30867180256861,563403.651488649,320,0.995409018518593,4.66325644157924,-2.7668806288412,8143981.91037134,320,0.99818007171825
0.491827885257096,2.87582674705159,1.14677450528026e-07,120,0.790775673606845,1.0668690385767,1.21175433704592,0.000785539601117714,120,0.804134203508045
-0.168441069318358,9.03510068834237,4.97280684808073e-22,160,0.969583911077971,0.151027635474561,4.74720953736326,1.81509587757422e-12,160,0.958715513155924
5.66869841818161,-3.48906564869621,197248488.777605,240,0.999641370571458,4.93704735811536,-2.9387211887665,9505998.64320744,240,0.998813948710091
2.22362961654039,-0.361843824510302,4.91188100139746,240,0.94553284830827,2.06458946635183,-0.41322188166539,6.04012340425119,240,0.918942402207937
5.26149236257978,-3.18397710194513,36762376.7324115,240,0.999297398017542,4.44375968533986,-2.56337670546395,1193579.27411042,240,0.997409637219973
4.07434734059283,-2.30331366630262,470813.820215747,300,0.995412670401966,3.9242672431412,-2.18641546639594,239375.068195678,300,0.99421002764985
7.58702647965294,125.963732392779,5.56362969417966e-309,280,0.999999957185341,4.93340489831591,-2.95739410668009,16611959.4444575,280,0.998812320299781
0.958470170912996,4.41658186804507,4.82675981076554e-11,160,0.871436085907813,0.780216869306927,2.94939599006382,5.52037042032327e-08,160,0.768184414486394
0.95290590886533,3.97997810868567,4.28210107857993e-10,160,0.874501090291782,1.34663040795878,1.2361780936485,0.000694610856998882,160,0.871279900016926
4.44890171648537,-2.54476636861947,677774.352545326,200,0.997416420008748,3.68120589230884,-1.96062103609443,29250.9474869337,200,0.991497487255404
